"Pay 14 days after delivery","الدفع ١٤ يومًا بعد الاستلام"
"Pay in installments","أقساط الشهرية بدون فوائد"
"Tabby not available for your purchase","خدمة تابي غير متوفرة لسلة شرائك حالياً"
"Pay later","الدفع لاحقاً"
"Split in 4","قسمها على ٤"
"4 interest-free payments","قسّمها على ٤ بدون رسوم ولا فوائد"
"Pay in 14 days","ادفع خلال ١٤ يوم"
"No fees. Pay with any card.",".استخدم أي بطاقة .بدون رسوم ولا فوائد"
"No upfront payments. No fees.",".بدون دفعات مقدمة. بدون رسوم"
"Interest-free credit card payments","دفعات بدون فوائد بالبطاقة الائتمانية."
"4 interest-free payments with tabby","قسّمها على 4 دفعات بدون فوائد مع تابي"
"4 interest-free credit card payments","4 دفعات بطاقة ائتمانية - بدون فوائد"
"No fees. Pay with any credit card.","بدون رسوم. إدفع بأي بطاقة ائتمانية."
"No upfront payments. No fees.","بدون دفعات مقدمة. بدون رسوم."
